数量,ISBN,非卖,位置,书名,定价,出版社,作者,出版时间,语言,一级分类,二级分类,简介,推荐人,渠道,绝版
2,9.78731E+12,,,视觉机器,32,南京大学出版社,保罗·维利里奥（著）魏舒（译）,Aug-14,,,,　　《当代激进思想家译丛：视觉机器》为法国著名哲学家保罗·维利里奥（PaulVirilio）关于新技术与图像新型逻辑的重要文集，共收入五篇文献：《地形失忆症》《不及一幅图像》《公共图像》《天真的摄像机》《视觉机器》。在这些文章中，作者梳理了再现手法的演变，它由绘画、雕塑和建筑时代的形式逻辑，到摄影和电影时代的辩证逻辑，进而发展到当今时代的反常逻辑。在今天这个由视频通信、全息摄影和计算机制图而开启的时代中，城邦中的“公共空间”突然让位于“公共图像”，即实时在场的反常图像，而这个真实时间将替补主体与客体之间的真实空间。作者试图回答这些问题，并澄清其意义。,,,
1,9.78731E+12,,,日常生活实践1：实践的艺术,32,南京大学出版社,塞托（著）黄春柳（译）,May-09,,,,　　技术人员的理性能够对事物和人进行最佳的组织，赋予它们各自的位置、角色以及消费产品。但是普通人悄悄地逃脱了这一组织。他们运用实践的艺术、巧妙的计谋和抵制的策略来创造日常生活。借助于抵制的策略，他们改变万物及法则，以自己的方式将空间和使用重新占为已有。花招与捷径、施展计谋的方式、猎人的诀窍、变幻不定、叙述和新词、数以千计的发明实践向有能力发现它们的人们证明了寻常人并非盲目顺从，并非消极被动；相反，他们在使用既定产品的过程中，在野外的自由中实现了分离。野外的自由，每个人通过它尽可能地去感受社会的秩序和万物的力量．,,,
1,9.78731E+12,,,日常生活实践2:居住与烹饪,48,南京大学出版社,（法）塞托，（法）贾尔，（法）梅约尔 著，冷碧莹 译,Jun-14,,,,,,,
1,9.78752E+12,,,逝物录,68,中信出版社,尤迪特·沙朗斯基,Apr-20,,,,祈盼逝物复活，迷醉于消逝的、不知餍足的辉煌！,,,
1,9.78752E+12,,,熟悉的陌生人：快递员的日常工作和劳动过程,89,社会科学文献出版社,张杨波,Sep-20,,,,科学优化快递*后一公里收发模式是当前快递行业面临的重要议题。物流管理从降低配送成本和提高配送效率的角度来探讨快递收发模式，改进物流技术是关键；新制度主义经济学从优化合同和降低交易成本的角度来寻找快递收发模式，寻求制度创新是核心。技术改进和制度创新在相当大程度上改进了快递收发流程，但是没有触及快递收发的实际过程，本研究通过调研一个快递点部，从配送和收取两个环节展示了快递运作的整个过程。研究发现，首先，快递配送模式包括两个环节：一是快递员和公司管理的制度关系；二是快递员和客户的人际关系。其次，快递收取包括两个环节：一是快递公司为快递员制定收快件的正式规定；二是快递员和客户的人际关系。快递从收取到寄发，快递员在遵循正式合同基础上通过发展与客户的熟人关系来软化正式合同，进而降低配送成本和化解配送风险。,,,
1,9.78711E+12,,,树木与房子：木构建筑和它的故事,49,机械工业出版社,张克群,Dec-19,,,,本书通过清晰明了的讲解、生动诙谐的语言，以树木作比喻，解读中国传统木建筑的主要构件及装饰，讲解了中国传统木建筑中有关基座、柱础、梁、柱、屋顶、栏杆、斗拱、牛腿、雀替、门窗、狮子与龙的建筑知识。小小一本书，带你走近匠心独运的中国古建筑，领略中国传统建筑的精巧与魅力，发现深藏在其中的生动的历史文化与智慧。,,,
1,9.78711E+12,,,树荫的温柔：亘古人类激情之源,39,生活.读书.新知三联书店,（法）阿兰・科尔班,Apr-16,,,,熟悉三联的读者也都会记得，20世纪80年代后期，三联书店曾以 新知文库 的名义，出版过一批译介西方现代人文社会科学知识的图书。 三联书店恢复独立建制20周年，再次推出新知文库，正是为了接续这一传统。,,,
1,9.78755E+12,,,魔法、节日、动植物：一些奇异文化传统的历史渊源,58,上海社会科学院出版社,莫尼卡（著）玛丽亚·斯塔佩尔贝里（著）高明杨（译）周正东（译）,Sep-20,,,, 　　在阅读世界史类作品时，我们常常会遇到如圣诞节、圣枝主日等节日，会看到君主因为某种传统或迷信而做出奇怪的决定，会发现某些特定的动物被赋予神性从而成为常用的图腾，这些现象背后其实都有着深厚的文化渊源。 　　在日常生活中，即便不专门去过西方传统节日，我们也知道一些相关传统，如万圣节时孩子们要挨家挨户去要糖果，圣诞节时会准备圣诞树。我们会讨论诞生石，会说情侣或夫妻之间有“七年之痒”，会在结婚时穿上洁白的婚纱，会觉得蓝色更适合男孩。还有一些不太容易意识到的现象，如薪水（salary）这个单词的词根其实与“盐”（salt）有关，表示右侧（right）的单词刚刚好也是表示“正确”的单词（相对来说在各种文化中“左”的意义都不太好），但我们并不一定了解更深层次的原因，而这本书能够告诉我们一些奇异文化传统的历史渊源。 　　若脱离西方传统去了解西方历史，则难免有一知半解的感觉。莫妮卡-玛丽亚·斯塔佩尔贝里带我们追溯了西方国家的文化史，从根源上解读了西方国家为什么会特别重视某些节日，宫廷中的纷争背后有什么传统迷思在作祟，古希腊、古罗马及维京时代的信仰和传统如何深刻地影响了现代西方文化，金羊毛骑士团因何得名，君主故去后为何将心脏运回出生地，等等。这本书可以作为世界史爱好者的文化导读，从某种意义上说，它也是一部世界史读者和研究者都需要的西方历史注解集。,,,
2,9.78755E+12,,,天地人：树之生命木之心「一套三本」,88,广西师范大学出版社,著者：【日】西冈常一、小川三夫、盐野米松 译者：英珂,Oct-16,,,,★凝聚一千三百年木构建筑智慧精华 奈良的法隆寺始建于公元7世纪，是日本现存*古老的木结构建筑群，被日本政府指定为国宝，并入选世界遗产。法隆寺得以保存至今，离不开寺庙的专制宫殿木匠，本书的主人公之一西冈常一，即是法隆寺*后一代专职的宫殿大木匠，本书如实记录了西冈常一传承下来的宫殿木匠口诀和他身体力行的工匠精神，完整再现了传统智慧对于建筑和文化的理解。 ★三代宫殿木匠半个世纪的技艺传承 西冈常一的徒弟小川三夫，将师父的技艺发扬光大，创办了 让匠人吃饱饭 的木匠工舍，四十年来完成各种寺庙工程近两百个，被北野武称为 日本的宝 ，本书通过西冈常一、小川三夫及其徒弟们的讲述，记录了三代宫殿木匠在 顺流而下的时代逆流而上 的故事，这不但是一本记录传统智慧的著作，更是一本表现匠人工作方式和处世哲学,,,
2,9.78712E+12,,,数字化生存,68,电子工业出版社,Nicholas（著）Negroponte（著）胡泳（译）,Feb-17,,,,《数字化生存》描绘了数字科技为我们的生活、工作、教育和娱乐带来的各种冲击和其中值得深思的问题，是跨入数字化新世界的*佳指南。英文版曾高居《纽约时报》畅销书排行榜。,,,
1,9.78721E+12,,,水下巴黎：光明之城如何经历1910年大洪水,39,江苏人民出版社有限公司,[美]杰弗里・H.杰克逊,Aug-17,,,,"本书按照时间顺序，讲述了巴黎在1910年遭遇强暴雨，塞纳河水位高涨，漫出河床，淹没了塞纳河两岸的巴黎城区和周边地区后，随着水灾初发、严重、消退，城市和乡村的水情状况和灾民、政府、军队、社会各个行业各种角色在水灾中的反应,全景描摹了水灾后巴黎遭遇了哪些，又如何度过水灾。",,,
3,9.78756E+12,,,说园,180,同济大学出版社有限公司,陈从周 著作,Jul-17,,,,《说园》是中国园林理论与设计史上的*著作之一，是我国古园林与建筑专家――陈从周先生的重要学术论著，其对于中国园林理论研究的经典地位一直位居各园林类书籍之首。内容提要本书是我国古建筑、古园林专家，同济大学教授――陈从周先生的园林理论力作。本书对造园理论、立意、组景、动观、静观、叠山理水、建筑栽植等方面皆有独到、精辟的见解。全书谈景言情，论虚说实，诚如叶圣陶先生的评述――“熔哲、文、美术于一炉，臻此高境，钦悦无量”。书中文笔清丽可诵，引人入胜。《说园》不仅是一部经典的园林理论著作，还是一部出色的文学作品。本书以中英两种文字同刊，且中文用毛笔精书影印，并附苏州园林摄影与中国古代造园图三十二幅，相得益彰，既可使读者了解中国传统造园艺术，也可供园林、建筑、旅游事业工作者参考。,,,
1,9.78711E+12,,,思考建筑,49,中国建筑工业出版社,卒姆托（著）张宇（译）,Sep-10,,,,《思考建筑》主要内容包括：观察事物的方式、美的内核、从热爱事物到事物本身、建筑本体、教建筑，学建筑，美是否有某种形式，现实的魅力，景观中的光等。,,,
1,9.78721E+12,,,关于建筑的16章：空间、时间以及世界,29,江苏人民出版社,五十岚太郎（著）刘金晓（译）,Sep-12,,,,《关于现代建筑的16章：空间、时间以及世界》收集了一些思考现代建筑的重要概念，以十六个关键字作为线索进行考察。主要特点之一是“历史的观点”及“现代的动向”之间的衔接。本书内容并不局限与建筑领域，相关人文领域的读者们也可以享用。相信读完这本书，人们就会因为发现建筑这个专业学问是可以藉由各种文化来进行思考而感觉非常有趣。,,,
2,9.78752E+12,,,斯坦纳自传,68,中国文联出版社,鲁道夫・斯坦纳,Jan-18,,,,★ 斯坦纳博士亲笔传记，记录了他在教育、哲学、艺术等多个领域不断求索的历程。 ★ 客观呈现了斯坦纳与其友人的交往，有共鸣，有冲突，读者可以从多维度了解斯坦纳的成长。 ★ 译自德文原版，译文流畅，为斯坦纳自传*中文版。 ● 编辑推荐 鲁道夫 斯坦纳到底是一个怎么样的人？有什么样的经历和见识？为何开创了华德福教育？为何从神智学转向人智学？在文学、艺术、医疗、农业和建筑等领域，他如何为了 善、美、真 辛勤耕耘？在与友人的交往中，他如何明确他的自我认知，并付出行动去践行他的理想？阅读本书，通过斯坦纳博士本人的笔触，体会他的平凡与超越。,,,
1,9.78756E+12,,,撕碎建筑的硬壳,265.12,广西师范大学出版社,,Dec-14,,,,,,,
3,9.78756E+12,,,太空美术简史：科学看不见的，用艺术呈现,199,北京联合出版有限公司,(美)罗恩・米勒,Sep-17,,,,★盛大的视觉狂欢。25位*太空艺术家350余幅高清太空艺术画作，配有：创作年代、创作者、背景介绍、艺术手法、风格特征。 ★全面梳理太空美术发展历程。从凡尔纳的科幻小说插画到21世纪的CGI合成技术，迄今*全面介绍 太空美术 发展史的画册。 ★5大太空主题全覆盖：太阳系、系外空间、宇宙飞船和空间站、太空殖民、外星生命。 ★不止是一部艺术通史，也是艺术、科技、历史、文化互相渗透的综合审美读本。当下火热的天文和航天，是*以想象为推动力的学科；科技元素已渗入到社会的方方面面，了解太空美术知识，是提升审美、了解科技前沿的直观途径。天文爱好者、艺术爱好者和科幻迷必备珍藏。 ★权威作者、审校者。作者：罗恩 米勒，雨果奖得主、好莱坞顾问， 太空美术 概念的提出者和倡导者。审校：喻京川，职业太空美术画家、北京天文馆画,,,
1,9.78756E+12,,,太阳系度假指南,58,北京联合出版有限公司,奥莉维亚·科斯基（著）加纳·格鲁赛维克（著）秦鹏,Aug-19,,,,就是现在，离开地球表面！这是一本献给好奇太空旅行者的必备指导手册，包含旅程中你需要知道的一切信息。星球概况 | 八大行星 卫星 矮行星基础知识 | 飞行训练 物资准备 生活基本原理交通信息 | 飞行距离 飞行时长 代步工具行程安排 | 可游览的景点 可以体验的项目  就是现在，离开地球表面！这是一本献给好奇太空旅行者的必备指导手册，包含旅程中你需要知道的一切信息。星球概况 | 八大行星 卫星 矮行星基础知识 | 飞行训练 物资准备 生活基本原理交通信息 | 飞行距离 飞行时长 代步工具行程安排 | 可游览的景点 可以体验的项目注意事项 | 别让自己死在太空里————————————————————站在大地上仰望夜空，每一枚光点都是一个可能的度假地——你想去哪里？我们将从基础知识开始：训练、打包，以及微重力健康和生活的基本原理。然后，我们将详细探讨你的行程安排。我们将前往太阳系的所有行星和其他游览地点，从地球近旁开始，旅行到更远的地方。月球之后是水星、金星和火星，然后冒险到太阳系外围的巨行星——木星、土星、天王星和海王星。*后，我们将抵达冥王星。你会了解抵达每一颗星球的交通信息、需要租用的代步工具、可游览的景点、可玩的项目，也会了解太阳系中行星、卫星、矮行星的迷人科学知识。,,,
1,9.78757E+12,,,唐人街：镀金的避难所、民族城邦和全球文化流散地,69.8,华东师范大学出版社,陈志明（著）王保华（著）,Aug-19,,,,无论大众还是学者，对“唐人街”这一现象都抱有浓厚的兴趣。在各种电影和通俗小说中，唐人街经常被塑造成具有东方异域色彩的神秘街区，它的形象复杂多变，有时是黑帮横行的贫民窟，有时是精英华人居住的模范社区，有时又是体验中华美食和文化的旅游胜地……,,,
2,9.78721E+12,,,铁道之旅:19世纪空间与时间的工业化,59,上海人民出版社,[德]沃尔夫冈・希弗尔布施,Jul-18,,,,当变成 包裹 的人遭遇可视化的现代性：机械恐惧，事故担忧，还是对无限经济力量的社会性畏惧？一次唤起工业意识之文化起源的铁道旅程，以宏富细节重构彼时体验,,,
1,9.78711E+12,,,透明性 transparency,25,中国建筑工业出版社,罗（著）斯拉茨基（著）王又佳（译）,Jan-08,,,,　　柯林·罗和罗伯特·斯拉茨基所撰写的《透明性》的英文版最初发表于1964年（《Perspecta》第8期），1968年德文译本出版。此书己经成为所有建筑专业学生重要的现代参考文本之一。,,,
1,9.78757E+12,,,图解吃喝小店摊设计,72,华中科技大学出版社,漂亮家居编辑部,Oct-18,,,,商业空间设计，思考的层面远比想象中来得复杂，即使是一个小摊子，都藏着很多学问，书中整理出开设一家店铺从无到有的过程，包含了身为店主一定要思考的产品定位、CI设计、材质选择、制作价位等内容。希望《图解吃喝小店摊设计》本书能够成为每位未来的小店摊主成就事业的起点，可以用设计让生意变既有趣又赚钱。,,,
1,9.78711E+12,,,图解动物园设计,89,中国建筑工业出版社,张恩权（著）李晓阳（著）张敬（著）,Mar-20,,,,\"《图解动物园设计》于2015年出版后，受到动物园工作者、动物园爱好者，和参与动物园项目的设计人员的欢迎。在与读着的交流过程中，我们也不断收到读着的反馈意见，这些意见主要集中在三方面： 1、近几年，动物园设计建设领域发展迅速，应当结合国外动物园的发展现状对原有内容进行修订、补充； 2、随着对圈养动物福利认识的提高，在动物园设计建设和设施配置方面，应当注重强调本书内容与圈养野生动物行为管理各个组件之间的关系——好的动物园是建设出来的，但更是管理出来的； 3、*版书中的插图均为黑白印刷，难以清晰表达各设计要点之间的区别，彩色印刷将更有助于设计内容说明； 结合上述读者反馈，我们对*版的内容进行了修订补充，希望形成第二版《图解动物园设计》 \",,,
1,9.78755E+12,,,图解都市空间构想力,98,江苏科学技术出版社,［日］东京大学都市设计研究室 编，赵春水 译，凤凰空间 出品,Mar-19,,,,本书是东京大学都市设计研究室 7 位教授耗时 10 余年研究调查，理论结合实践，总结出来的关于城市空间规划和设计理念的城市规划设计宝典。通过本书，他们确立了东京大学城市设计研究室常年实施的项目调查工作在实践方面的理论化以及学术化基础。 本书中介绍的原有城市空间指的是除了与城市设计研究室这些专业领域相关的场所之外，还包括每位执笔者作为设计师所经历的空间。总结了每位设计师在长期实践经验中积累而来的大部分观点和解读出的大部分具体化空间意图。 书中以六个视角详细解读城市空间构造背后所存在的构想力，引领读者感受城市规划师们的设计理念和规划理念，希望读者能在大师们的引领下以崭新的思维、全新的角度感知和思考城市空间设计，聆听城市空间和风景带来的歌声，为现代城市规划师提供借鉴。,,,
1,9.78756E+12,,,图解建筑结构：模式、体系与设计,88,天津大学,"(美)程大锦 (Ching, Francis Dai Kam 1943~) 著",Jan-18,,,,本书以一种特有的方法来探讨结构设计，展示出如何将一座建筑中诸如模式、比例、尺度等要素整合成结构体系，并使其成为关乎建筑设计成败的基本环节。全书内容涉及：建筑结构、结构模式、水平跨件、竖向维度、侧向稳定、大跨结构、高层结构等。,,,
0,9.7873E+12,,,日本建筑与生活简史,49,清华大学出版社,[日]西和夫，穗积和夫 著； 李建华 译,Oct-16,,,,相关图书： 《图说日本住居生活史》 书中绘图以线条画为主体，精准地展示了建筑本身，成为本书特有的魅力。原著成书于上世纪八十年代，我们至今仍会被其中的文字和图片震撼。,,,
0,9.7873E+12,,,图说日本住居生活史,39,清华大学出版社,稻叶和也（著）中山繁信（著）,Jan-10,,,,　　《图说日本住居生活史》从文化和生活的角度，平实直观地再现了日本这一片土地上的居住者不断与自然相调适，建立起美观实用的居住空间和居住形式的历史。藉由本书，我们的足迹遍布日本各地，领略当时当地的风情地貌、世情百态；细致的描??，甚至每一个日常所用的器具都在讲述故事。,,,
2,9.7873E+12,,,居所中的水与火,39,清华大学出版社,光藤俊夫（著）中山繁信（著）刘缵（译）,Jul-10,,,,我们人类生活的开端，正是从水与火的使用开始的．把水与火纳入膳所，就是文明的进程。而厨房、浴室、厕所作为人类文明的产物，见证我们从茹毛饮血的野蛮人变为文质彬彬的现代人。居所中水与火的历史，也是管窥人类文化生活的《居所中的水与火：厨房、浴室、厕所的历史》的作者正是从这个角度，回溯历史长卷的一隅，为我们带来妙趣横生的知识。,,,
1,9.78751E+12,,,梁思成《图像中国建筑史》手绘图,52,贵州人民出版社，中国文联出版社,榛生，岑桑等,May-18,,,,,,,
1,9.78756E+12,,,退步主义者,39.8,江苏凤凰文艺出版社,坂口安吾（著）侯咏馨,Jul-19,,,,本书是与太宰治齐名的日本战后文学中“无赖派”的旗手坂口安吾的中短篇精选集。收录《退步主义者》等8个反思输家哲学的珠玉小品。作品多呈戏谑及反叛色彩，有着颓废而又浪漫的输家哲学之美。收录的代表作《退步主义者》正是当年坂口安吾在课桌上刻下的“余将成为伟大的落伍者，有朝一日重现于历史上”的完美诠释。 ,,,
1,9.78711E+12,,,外国城市建设史（二手）,25,中国建筑工业出版社,沈玉麟,Dec-89,,,,　　本书分别从古代、中古、近代及现代四个历史时期阐述了外国城市建设的发展过程与特点。作者在参考大量文献的基础上，结合各时期的社会背景，对各国的城市建设理论以及城市建设实践作了科学的评介。全书内容翔实，实例丰富，图文并茂。本书为高等学校教学用书。可供大专院校城市规划专业和建筑学专业教学用，也可供从事城市规划和建筑设计的专业人员参考。,,,
1,9.78712E+12,,,外国古建筑小讲,37,化学工业出版社,张克群,Dec-19,,,,建筑是人类站立在地球上的恢宏的风姿。人类建筑文明的发展与社会文明的发展是同步的。一座伟大的建筑，容纳了人类物理力学的丰厚底蕴，彰显了人类手工业制造者的巧夺天工，承载了人类开拓创新的勇气与决心。每一座建筑背后都有一个动听的故事，每一座建筑的年轮都记载了一段鲜为人知的历史，每一座建筑的脚步都烙印了人类文明的辉煌。,,,
1,9.78753E+12,,,外滩影像与传奇：陈丹燕的上海,45,上海文艺出版社,陈丹燕 著,Jul-14,,,,《外滩：影像与传奇》是陈丹燕非虚构上海系列故事之一。这部陈丹燕历时6年完成的作品，是她对外滩的回望、注目与访问。外滩就像一艘内藏丰富的巨轮，航行在历史的海面上；陈丹燕以“影像”这种特殊的视角，来揭开外滩光影斑驳的面纱，展现她对外滩历史的打捞。每一个章节都似一个闪光的镜面，反射着历史的驳杂与丰富、理性与非理性交错的瞬间。,,,
1,9.7873E+12,,,玩儿过——建筑师街区游戏指南,98,清华大学出版社,张利著,Aug-17,,,,本书收集整理了大家儿时玩过的街道游戏，如打口袋、迈大步、丢手绢、123木头人、老鹰捉小鸡、跳房子等，期待其中的空间智慧能够被更多的人关注、讨论和应用。,,,
2,9.78751E+12,,,王南建筑史诗：拱尖天堂,48,新星出版社,王南,2020/6/6,,,,"本书是王南“建筑史诗”系列的第十本，主角是哥特建筑——中世纪乃至整个西方建筑史的一大高峰。
“如果说罗曼时期已是黎明前的曙光，那么哥特时期完全就是一场光芒万丈的日出。”
从西方建筑史的角度看，接替中世纪罗曼时期修道院教堂的，是由一系列主教大教堂组成的哥特时期伟大建筑杰作。这些大教堂除了建筑本身无与伦比外，更是荟萃中世纪最杰出的雕刻、绘画，以及彩色玻璃、金属、象牙等诸般工艺于一身。哥特大教堂由是成为中世纪文化艺术的总结晶。
欧洲数以万计的哥特教堂虽然千差万别，但又有着独属哥特的统一体征。《拱尖天堂》对哥特大教堂世界的巡礼，大致遵循历史演进的脉络展开：哥特教堂于法国发源，之后英国、西班牙迅速跟进并加以发挥，古典建筑文化深厚的意大利和罗曼建筑发达的德国，逐渐接受其影响，发展出各具特色的地方哥特风格，尤其是德国，成为哥特建筑最后的坚定守卫者。王南采用了一种新的写法，以法国盛期哥特教堂的代表作沙特尔大教堂为“标准器”，方便代入欧洲各地哥特建筑的不同个性特征，更好地理解哥特世界的参差多态。
哥特建筑魅力究竟何在？王南在书中不仅剖析建筑的结构技术，还进一步探讨其宗教内涵。尖拱、肋拱顶和飞扶壁，这三把结构利器“三剑合璧”，带来哥特教堂的建筑革命——用尽可能少的材料，营造尽可能宏伟崇高的空间。由尖拱结构营造向上升腾的空间，与仿佛来自天国的瑰丽光线相结合，构成哥特大教堂的精神超越之感。
从哥特大教堂的建造来看，伟大的哥特建筑都是科学与艺术的完美结合。欧洲各地大山的石头，被源源不断地运往城镇与乡村，并被匠师垒砌、雕琢，历经数百年，最终成为一片石头的纪念碑林。可以说，它们都是中世纪建筑匠师与基督教会默契合作的产物。",,,
2,9.78751E+12,,,王南建筑史诗：营造天书,36,新星出版社,王南著,Jan-16,,,,本书以梁思成及其中国营造学社同仁“破译”《营造法式》为线索，用浅显易懂的语言剖析法式，解读宋、辽、金木构建筑遗存。此外书中还展示了大量珍贵的照片及图纸，使读者了解美轮美奂的古建筑如何从模数制及斗栱中演化生成，带我们领略中国古代建筑的营造法门与艺术造诣之卓绝。,,,
1,9.78751E+12,,,王南建筑史诗：木骨禅心,36,新星出版社,王南,Sep-18,,,,,,,
2,9.78751E+12,,,王南建筑史诗：金色天国,36,新星出版社,读库编,Dec-14,,,,,,,
2,9.78751E+12,,,王南建筑史诗：汉家陵阙,36,新星出版社,王南,Sep-18,,,,,,,
2,9.78751E+12,,,王南建筑史诗：塔窟东来,36,新星出版社,王南,Sep-18,,,,,,,
2,9.78751E+12,,,王南建筑史诗：六朝遗石,36,新星出版社,读库编,Jan-16,,,,,,,
1,9.78751E+12,,,王南建筑史诗：梦回唐朝,36,新星出版社,王南,Sep-18,,,,,,,
1,9.78751E+12,,,王南建筑史诗：万神殿堂,28,新星出版社,王南,Mar-15,,,,《万神殿堂》是在《读库》刊载的“建筑史诗”开篇之作，建筑史学者王南用普通读者都能看得懂、看得入迷的文字，把古罗马建筑奇迹条分缕析地展现在读者面前。,,,
1,9.78752E+12,,,隈研吾的材料研究室,168.2,中信出版集团,隈研吾,Jul-20,,,,,,,
2,9.78711E+12,,,维奥莱-勒-迪克建筑学讲义,,中国建筑工业出版社,尤金-艾曼努尔·维奥莱-勒-迪克,2015/5/1,,,,《维奥莱-勒-迪克建筑学讲义(套装共2册)》包含《维奥莱—勒—迪克建筑学讲义（上册）》、《维奥莱—勒—迪克建筑学讲义（下册）》共2册，《维奥莱-勒-迪克建筑学讲义(套装共2册)》是尤金—埃曼努力·维奥莱—勒—迪克最重要的著作之一，是以作者在1857年作为巴黎美术学院的教授时所写的讲义为主，又收录了他之后的一些文章而形成的。《维奥莱-勒-迪克建筑学讲义(套装共2册)》分两部分，共二十讲。第一部分按照历史的顺序，梳理了原始时代、希腊罗马、拜占庭、中世纪、文艺复兴到19世纪的建筑的特征及建筑设计的法则；第二部分则以构造、建造、教育、装饰、雕塑、家居建筑及建筑的竞标和施工管理等专题分别讨论。,,,
0,9.78757E+12,,,伟大的柯布西耶,386,华中科技大学出版社,路易·科恩（著）蒂姆·本顿（著）,Mar-20,,,,,,,
1,9.78751E+12,,,伟大建筑手稿 DRAWING ARCHITECTURE,298.05,中信出版社,海伦·托马斯,Jan-10,,,,,,,
0,9.78711E+12,,,为建筑看相,45,生活.读书.新知三联书店,汉宝德,Jan-17,,,,身为台湾建筑界的教父式人物，汉宝德先生学贯中西，又能把建筑学、艺术学、文化学三者打通，思想深邃而触类旁通。更难得的是，汉先生愿意走出学术象牙塔，为普通读者写作，普及建筑文化。这本书，就是他这方面的一本代表作。通俗易懂，也蕴藏着深意。,,,
2,9.78711E+12,,,未来城市,58,中国建筑工业出版社,里德（著）罗斯曼（著）范埃尔迪约克（著）曹康（译）,Apr-16,,,,,,,
3,9.78753E+12,,,文化就是身体,78.27,上海文艺出版社,铃木忠志,Jun-19,,,,当代戏剧大师铃木忠志1984至2014三十年文集，收录文章十篇、访谈一篇，全面呈现铃木戏剧理念，解答艺术、人生与时代困惑。“我的戏剧理念是努力去创造一种较为之花，人们经常拿能剧和歌舞伎来和我在利贺铃木剧团的工作做比较，事实上，我做的是一个混合体，是造一座衔接经典和当代的桥梁，为的是要在观众的想象中照亮我们时代的问题。这是当代戏剧导演的使命和社会作用。”,,,
1,9.78731E+12,,,斜目而视：透过通俗文化看拉康,45,浙江大学出版社,齐泽克（著）,Mar-11,,,,欲望的客体无法直视，拉康的理论亦需“斜目而视”。在本书中，齐泽克一方面透过通俗作品解析拉康的理论，揭示“无意识的逻辑”，勾勒“欲望的原理”；另一方面借助拉康理论解读通俗作品，这既包括希区柯克、安东尼奥尼、大卫?林奇、赛乔尔?莱昂、弗里茨?朗、雷利?史考特、乔治?米勒等著名导演的电影，又包括阿加莎?克里斯蒂、斯蒂芬?金、帕特里西娅?海史密斯等通俗作家的小说，以及柯南?道尔塑造的福尔摩斯、雷蒙?钱德勒塑造的菲利普?马娄等人物形象。作者对通俗作品的解读，彰显了“通俗”作品的?非通俗”之维，展示了“通俗”作品的现代乃至后现代蕴味。,,,
1,9.7875E+12,,,文明开化来了：明治时代的生活画像,52.07,工人出版社,林丈二（著）凤气至纯平（译）许倍榕（译）,Apr-20,,,,日本在明治时代历经文明开化的变革，逐渐形成现代日本人日常生活的习惯。本书通过日本“路上观察之神”林丈二利用明治初期到1930年代日本的新闻（报纸）、杂志里的“插绘”和“广告”，配合报纸社会新闻纪事，仔细探究和挖掘其中各种物品和潜藏的故事，记录一百多年前日本人的生活样貌和变化，从而建构其独树一格的日本明治时代的文明开化史。,,,
1,9.7875E+12,,,江户食空间：万物汇集的料理与社会,248.12,工人出版社,大久保洋子,Jul-19,,,,暂时没有内容,,,
1,9.78721E+12,,,我的名字叫红,39,上海人民出版社,[土耳其] 奥尔罕・帕慕克 著，沈志兴 译,Jan-16,,,,★ 张静初深度推荐：这是一部环环相扣的悬疑小说，但它不仅是一部好看的小说！它的写作手法给予了读者全新的角度。看完之后觉得身边的每一件物品都会说话了。小说的开场就是： 我是一个死人 希望你和我一样看得惊心动魄，开怀大笑哦！ ★ 更会讲故事的诺奖得主。帕慕克的小说具有独特的现代小说叙事结构，一个故事有多重欣赏角度，既可以满足读故事的单纯需求，也可以满足更深度的思考和审美。 ★ 代表作。《我的名字叫红》奠定了作者世界文坛大师的地位，几乎获得了全球所有重要文学奖项。 ★ 经典文学中的畅销小说。引人入胜的故事，可读性极高，在全球都是畅销作品。2006年版本的《红》是国内诺贝尔文学奖作品中的销量翘楚。,,,
2,9.78757E+12,,,我的意中建筑,88,江苏凤凰科学技术出版社,中村好文,Jun-19,,,,建筑，或规模宏大或玲珑精巧、或东方韵味或西洋风情、或沉稳古典或现代奔放，无论知名与否，其对美的追求都是共通的；而对不同空间的诠释却是每一座建筑所特有的。只有置身在空间中，亲眼去看、倾耳静听、用手掌去抚摸接触，才能了解建筑的价值。作者走遍10个国家，探访了25座令他一见倾心的建筑。从文丘里设计的母亲之家、马蒂斯留下的光之宝，到柯布西耶五次更改设计方案的萨伏伊别墅；从骑士时代的巍巍古堡、维也纳迷宫般的下水道，再到囚禁过众多思想家的丰多摩监狱……25个空间，25张表情，一砖一瓦凝结建筑之美，一字一句尽显学者实力。,,,
